hedId	Level	rdfs:label	omn:SubClassOf	Attributes	dc:description
	4	Path	Navigational-object		A trodden way. A way or track laid down for walking or made by continual treading.
	4	Road	Navigational-object		An open way for the passage of vehicles, persons, or animals on land.
	5	Lane	Road		A defined path with physical dimensions through which an object or substance may traverse.
	4	Runway	Navigational-object		A paved strip of ground on a landing field for the landing and takeoff of aircraft.
	3	Vehicle	Man-made-object		A mobile machine which transports people or cargo.
	4	Aircraft	Vehicle		A vehicle which is able to travel through air in an atmosphere.
	4	Bicycle	Vehicle		A human-powered, pedal-driven, single-track vehicle, having two wheels attached to a frame, one behind the other.
	4	Boat	Vehicle		A watercraft of any size which is able to float or plane on water.
	4	Car	Vehicle		A wheeled motor vehicle used primarily for the transportation of human passengers.
	4	Cart	Vehicle		A cart is a vehicle which has two wheels and is designed to transport human passengers or cargo.
	4	Tractor	Vehicle		A mobile machine specifically designed to deliver a high tractive effort at slow speeds, and mainly used for the purposes of hauling a trailer or machinery used in agriculture or construction.
	4	Train	Vehicle		A connected line of railroad cars with or without a locomotive.
	4	Truck	Vehicle		A motor vehicle which, as its primary funcion, transports cargo rather than human passangers.
	2	Natural-object	Object		Something that exists in or is produced by nature, and is not artificial or man-made.
	3	Mineral	Natural-object		A solid, homogeneous, inorganic substance occurring in nature and having a definite chemical composition.
	3	Natural-feature	Natural-object		A feature that occurs in nature. A prominent or identifiable aspect, region, or site of interest.
	4	Field	Natural-feature		An unbroken expanse as of ice or grassland.
	4	Hill	Natural-feature		A rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m.
	4	Mountain	Natural-feature		A landform that extends above the surrounding terrain in a limited area.
	4	River	Natural-feature		A natural freshwater surface stream of considerable volume and a permanent or seasonal flow, moving in a definite channel toward a sea, lake, or another river.
	4	Waterfall	Natural-feature		A sudden descent of water over a step or ledge in the bed of a river.
	1	Sound	Item		Mechanical vibrations transmitted by an elastic medium. Something that can be heard.
	2	Environmental-sound	Sound		Sounds occuring in the environment. An accumulation of noise pollution that occurs outside. This noise can be caused by transport, industrial, and recreational activities.
	3	Crowd-sound	Environmental-sound		Noise produced by a mixture of sounds from a large group of people.
	3	Signal-noise	Environmental-sound		Any part of a signal that is not the true or original signal but is introduced by the communication mechanism.
	2	Musical-sound	Sound		Sound produced by continuous and regular vibrations, as opposed to noise.
	3	Instrument-sound	Musical-sound		Sound produced by a musical instrument.
	3	Tone	Musical-sound		A musical note, warble, or other sound used as a particular signal on a telephone or answering machine.
	3	Vocalized-sound	Musical-sound		Musical sound produced by vocal cords in a biological agent.
	2	Named-animal-sound	Sound		A sound recognizable as being associated with particular animals.
	3	Barking	Named-animal-sound		Sharp explosive cries like sounds made by certain animals, especially a dog, fox, or seal.
	3	Bleating	Named-animal-sound		Wavering cries like sounds made by a sheep, goat, or calf.
	3	Chirping	Named-animal-sound		Short, sharp, high-pitched noises like sounds made by small birds or an insects.
	3	Crowing	Named-animal-sound		Loud shrill sounds characteristic of roosters.
	3	Growling	Named-animal-sound		Low guttural sounds like those that made in the throat by a hostile dog or other animal.
	3	Meowing	Named-animal-sound		Vocalizations like those made by as those cats. These sounds have diverse tones and are sometimes chattered, murmured or whispered. The purpose can be assertive.
	3	Mooing	Named-animal-sound		Deep vocal sounds like those made by a cow.
	3	Purring	Named-animal-sound		Low continuous vibratory sound such as those made by cats. The sound expresses contentment.
	3	Roaring	Named-animal-sound		Loud, deep, or harsh prolonged sounds such as those made by big cats and bears for long-distance communication and intimidation.
	3	Squawking	Named-animal-sound		Loud, harsh noises such as those made by geese.
	2	Named-object-sound	Sound		A sound identifiable as coming from a particular type of object.
	3	Alarm-sound	Named-object-sound		A loud signal often loud continuous ringing to alert people to a problem or condition that requires urgent attention.
	3	Beep	Named-object-sound		A short, single tone, that is typically high-pitched and generally made by a computer or other machine.
	3	Buzz	Named-object-sound		A persistent vibratory sound often made by a buzzer device and used to indicate something incorrect.
	3	Click	Named-object-sound		The sound made by a mechanical cash register, often to designate a reward.
	3	Ding	Named-object-sound		A short ringing sound such as that made by a bell, often to indicate a correct response or the expiration of time.
	3	Horn-blow	Named-object-sound		A loud sound made by forcing air through a sound device that funnels air to create the sound, often used to sound an alert.
	3	Ka-ching	Named-object-sound		The sound made by a mechanical cash register, often to designate a reward.
	3	Siren	Named-object-sound		A loud, continuous sound often varying in frequency designed to indicate an emergency.
	0	Property	HedTag	extensionAllowed	Something that pertains to a thing. A characteristic of some entity. A quality or feature regarded as a characteristic or inherent part of someone or something. HED attributes are adjectives or adverbs.
	1	Agent-property	Property	extensionAllowed	Something that pertains to an agent.
	2	Agent-state	Agent-property		The state of the agent.
	3	Agent-cognitive-state	Agent-state		The state of the cognitive processes or state of mind of the agent.
	4	Alert	Agent-cognitive-state		Condition of heightened watchfulness or preparation for action.
	4	Anesthetized	Agent-cognitive-state		Having lost sensation to pain or having senses dulled due to the effects of an anesthetic.
	4	Asleep	Agent-cognitive-state		Having entered a periodic, readily reversible state of reduced awareness and metabolic activity, usually accompanied by physical relaxation and brain activity.
	4	Attentive	Agent-cognitive-state		Concentrating and focusing mental energy on the task or surroundings.
	4	Awake	Agent-cognitive-state		In a non sleeping state.
	4	Brain-dead	Agent-cognitive-state		Characterized by the irreversible absence of cortical and brain stem functioning.
	4	Comatose	Agent-cognitive-state		In a state of profound unconsciousness associated with markedly depressed cerebral activity.
	4	Drowsy	Agent-cognitive-state		In a state of near-sleep, a strong desire for sleep, or sleeping for unusually long periods.
	4	Intoxicated	Agent-cognitive-state		In a state with disturbed psychophysiological functions and responses as a result of administration or ingestion of a psychoactive substance.
	4	Locked-in	Agent-cognitive-state		In a state of complete paralysis of all voluntary muscles except for the ones that control the movements of the eyes.
	4	Passive	Agent-cognitive-state		Not responding or initiating an action in response to a stimulus.
	4	Resting	Agent-cognitive-state		A state in which the agent is not exhibiting any physical exertion.
	4	Vegetative	Agent-cognitive-state		A state of wakefulness and conscience, but (in contrast to coma) with involuntary opening of the eyes and movements (such as teeth grinding, yawning, or thrashing of the extremities).
	3	Agent-emotional-state	Agent-state		The status of the general temperament and outlook of an agent.
	4	Angry	Agent-emotional-state		Experiencing emotions characterized by marked annoyance or hostility.
	4	Aroused	Agent-emotional-state		In a state reactive to stimuli leading to increased heart rate and blood pressure, sensory alertness, mobility and readiness to respond.
	4	Awed	Agent-emotional-state		Filled with wonder. Feeling grand, sublime or powerful emotions characterized by a combination of joy, fear, admiration, reverence, and/or respect.
	4	Compassionate	Agent-emotional-state		Feeling or showing sympathy and concern for others often evoked for a person who is in distress and associated with altruistic motivation.
	4	Content	Agent-emotional-state		Feeling  satisfaction with things as they are.
	4	Disgusted	Agent-emotional-state		Feeling revulsion or profound disapproval aroused by something unpleasant or offensive.
	4	Emotionally-neutral	Agent-emotional-state		Feeling neither satisfied nor dissatisfied.
	4	Empathetic	Agent-emotional-state		Understanding and sharing the feelings of another. Being aware of, being sensitive to, and vicariously experiencing the feelings, thoughts, and experience of another.
	4	Excited	Agent-emotional-state		Feeling great enthusiasm and eagerness.
	4	Fearful	Agent-emotional-state		Feeling apprehension that one may be in danger.
	4	Frustrated	Agent-emotional-state		Feeling annoyed as a result of being blocked, thwarted, disappointed or defeated.
	4	Grieving	Agent-emotional-state		Feeling sorrow in response to loss, whether physical or abstract.
	4	Happy	Agent-emotional-state		Feeling pleased and content.
	4	Jealous	Agent-emotional-state		Feeling threatened by a rival in a relationship with another individual, in particular an intimate partner, usually involves feelings of threat, fear, suspicion, distrust, anxiety, anger, betrayal, and rejection.
	4	Joyful	Agent-emotional-state		Feeling delight or intense happiness.
	4	Loving	Agent-emotional-state		Feeling a strong positive emotion of affection and attraction.
	4	Relieved	Agent-emotional-state		No longer feeling pain, distress,  anxiety, or reassured.
	4	Sad	Agent-emotional-state		Feeling grief or unhappiness.
	4	Stressed	Agent-emotional-state		Experiencing mental or emotional strain or tension.
	3	Agent-physiological-state	Agent-state		Having to do with the mechanical, physical, or biochemical function of an agent.
	4	Healthy	Agent-physiological-state	relatedTag=Sick	Having no significant health-related issues.
	4	Hungry	Agent-physiological-state	relatedTag=Sated, relatedTag=Thirsty	Being in a state of craving or desiring food.
	4	Rested	Agent-physiological-state	relatedTag=Tired	Feeling refreshed and relaxed.
	4	Sated	Agent-physiological-state	relatedTag=Hungry	Feeling full.
	4	Sick	Agent-physiological-state	relatedTag=Healthy	Being in a state of ill health, bodily malfunction, or discomfort.
	4	Thirsty	Agent-physiological-state	relatedTag=Hungry	Feeling a need to drink.
	4	Tired	Agent-physiological-state	relatedTag=Rested	Feeling in need of sleep or rest.
	3	Agent-postural-state	Agent-state		Pertaining to the position in which agent holds their body.
	4	Crouching	Agent-postural-state		Adopting a position where the knees are bent and the upper body is brought forward and down, sometimes to avoid detection or to defend oneself.
	4	Eyes-closed	Agent-postural-state		Keeping eyes closed with no blinking.
	4	Eyes-open	Agent-postural-state		Keeping eyes open with occasional blinking.
	4	Kneeling	Agent-postural-state		Positioned where one or both knees are on the ground.
	4	On-treadmill	Agent-postural-state		Ambulation on an exercise apparatus with an endless moving belt to support moving in place.
	4	Prone	Agent-postural-state		Positioned in a recumbent body position whereby the person lies on its stomach and faces downward.
	4	Seated-with-chin-rest	Agent-postural-state		Using a device that supports the chin and head.
	4	Sitting	Agent-postural-state		In a seated position.
	4	Standing	Agent-postural-state		Assuming or maintaining an erect upright position.
	2	Agent-task-role	Agent-property		The function or part that is ascribed to an agent in performing the task.
	3	Experiment-actor	Agent-task-role		An agent who plays a predetermined role to create the experiment scenario.
	3	Experiment-controller	Agent-task-role		An agent exerting control over some aspect of the experiment.
	3	Experiment-participant	Agent-task-role		Someone who takes part in an activity related to an experiment.
	3	Experimenter	Agent-task-role		Person who is the owner of the experiment and has its responsibility.
	2	Agent-trait	Agent-property		A genetically, environmentally, or socially determined characteristic of an agent.
	3	Age	Agent-trait		Length of time elapsed time since birth of the agent.
	4	Age-#	Age	takesValue	
	3	Agent-experience-level	Agent-trait		Amount of skill or knowledge that the agent has as pertains to the task.
	4	Expert-level	Agent-experience-level	relatedTag=Intermediate-experience-level, relatedTag=Novice-level	Having comprehensive and authoritative knowledge of or skill in a particular area related to the task.
	4	Intermediate-experience-level	Agent-experience-level	relatedTag=Expert-level, relatedTag=Novice-level	Having a moderate amount of knowledge or skill related to the task.
	4	Novice-level	Agent-experience-level	relatedTag=Expert-level, relatedTag=Intermediate-experience-level	Being inexperienced in a field or situation related to the task.
	3	Gender	Agent-trait		Characteristics that are socially constructed, including norms, behaviors, and roles based on sex.
	3	Handedness	Agent-trait		Individual preference for use of a hand, known as the dominant hand.
	4	Ambidextrous	Handedness		Having no overall dominance in the use of right or left hand or foot in the performance of tasks that require one hand or foot.
	4	Left-handed	Handedness		Preference for using the left hand or foot for tasks requiring the use of a single hand or foot.
	4	Right-handed	Handedness		Preference for using the right hand or foot for tasks requiring the use of a single hand or foot.
	3	Sex	Agent-trait		Physical properties or qualities by which male is distinguished from female.
	4	Female	Sex		Biological sex of an individual with female sexual organs such ova.
	4	Intersex	Sex		Having genitalia and/or secondary sexual characteristics of indeterminate sex.
	4	Male	Sex		Biological sex of an individual with male sexual organs producing sperm.
	1	Data-property	Property	extensionAllowed	Something that pertains to data or information.
	2	Data-marker	Data-property		An indicator placed to mark something.
	3	Temporal-marker	Data-marker		An indicator placed at a particular time in the data.
	4	Offset	Temporal-marker	topLevelTagGroup	Labels the time at which something stops.
	4	Onset	Temporal-marker	topLevelTagGroup	Labels the start or beginning of something, usually an event.
	4	Pause	Temporal-marker		Indicates the temporary interruption of  the operation a process and subsequently wait for a signal to continue.
	4	Time-out	Temporal-marker		A cancellation or cessation that automatically occurs when a predefined interval of time has passed without a certain event occurring.
	4	Time-sync	Temporal-marker		A synchronization signal whose purpose to help synchronize different signals or processes. Often used to indicate a marker inserted into the recorded data to allow post hoc synchronization of concurrently recorded data streams.
	2	Data-resolution	Data-property		Smallest change in a quality being measured by an sensor that causes a perceptible change.
	3	Printer-resolution	Data-resolution		Resolution of a printer, usually expressed as the number of dots-per-inch for a printer.
	4	Printer-resolution-#	Printer-resolution	takesValue	
	3	Screen-resolution	Data-resolution		Resolution of a screen, usually expressed as the of pixels in a dimension for a digital display device.
	4	Screen-resolution-#	Screen-resolution	takesValue	
	3	Sensory-resolution	Data-resolution		Resolution of measurements by a sensing device.
	4	Sensory-resolution-#	Sensory-resolution	takesValue	
	3	Spatial-resolution	Data-resolution		Linear spacing of a spatial measurement.
	4	Spatial-resolution-#	Spatial-resolution	takesValue	
	3	Spectral-resolution	Data-resolution		Measures the ability of a sensor to  resolve features in the electromagnetic spectrum.
	4	Spectral-resolution-#	Spectral-resolution	takesValue	
	3	Temporal-resolution	Data-resolution		Measures the ability of a sensor to  resolve features in time.
	4	Temporal-resolution-#	Temporal-resolution	takesValue	
	2	Data-source-type	Data-property		The type of place, person, or thing from which the data comes or can be obtained.
	3	Computed-feature	Data-source-type		A feature computed from the data by a tool. This tag should be grouped with a label of the form Toolname_propertyName.
	3	Computed-prediction	Data-source-type		A computed extrapolation of known data.
	3	Expert-annotation	Data-source-type		An explanatory or critical comment or other in-context information provided by an authority.
	3	Instrument-measurement	Data-source-type		Information obtained from a device that is used to measure material properties or make other observations.
	3	Observation	Data-source-type		Active acquisition of information from a primary source. Should be grouped with a label of the form AgentID_featureName.
	2	Data-value	Data-property		Designation of the type of a data item.
	3	Categorical-value	Data-value		Indicates that something can take on a limited and usually fixed number of possible values.
	4	Categorical-class-value	Categorical-value		Categorical values that fall into discrete classes such as true or false. The grouping is absolute in the sense that it is the same for all participants.
	5	All	Categorical-class-value	relatedTag=Some, relatedTag=None	To a complete degree or to the full or entire extent.
	5	Correct	Categorical-class-value	relatedTag=Wrong	Free from error. Especially conforming to fact or truth.
	5	Explicit	Categorical-class-value	relatedTag=Implicit	Stated clearly and in detail, leaving no room for confusion or doubt.
	5	False	Categorical-class-value	relatedTag=True	Not in accordance with facts, reality or definitive criteria.
	5	Implicit	Categorical-class-value	relatedTag=Explicit	Implied though not plainly expressed.
	5	Invalid	Categorical-class-value	relatedTag=Valid	Not allowed or not conforming to the correct format or specifications.
	5	None	Categorical-class-value	relatedTag=All, relatedTag=Some	No person or thing, nobody, not any.
	5	Some	Categorical-class-value	relatedTag=All, relatedTag=None	At least a small amount or number of, but not a large amount of, or often.
	5	True	Categorical-class-value	relatedTag=False	Conforming to facts, reality or definitive criteria.
	5	Valid	Categorical-class-value	relatedTag=Invalid	Allowable, usable, or acceptable.
	5	Wrong	Categorical-class-value	relatedTag=Correct	Inaccurate or not correct.
	4	Categorical-judgment-value	Categorical-value		Categorical values that are based on the judgment or perception of the participant such familiar and famous.
	5	Abnormal	Categorical-judgment-value	relatedTag=Normal	Deviating in any way from the state, position, structure, condition, behavior, or rule which is considered a norm.
	5	Asymmetrical	Categorical-judgment-value	relatedTag=Symmetrical	Lacking symmetry or having parts that fail to correspond to one another in shape, size, or arrangement.
	5	Audible	Categorical-judgment-value	relatedTag=Inaudible	A sound that can be perceived by the participant.
	5	Complex	Categorical-judgment-value	relatedTag=Simple	Hard, involved or complicated, elaborate, having many parts.
	5	Congruent	Categorical-judgment-value	relatedTag=Incongruent	Concordance of multiple evidence lines. In agreement or harmony.
	5	Constrained	Categorical-judgment-value	relatedTag=Unconstrained	Keeping something within particular limits or bounds.
	5	Disordered	Categorical-judgment-value	relatedTag=Ordered	Not neatly arranged. Confused and untidy. A structural quality in which the parts of an object are non-rigid.
	5	Familiar	Categorical-judgment-value	relatedTag=Unfamiliar, relatedTag=Famous	Recognized, familiar, or within the scope of knowledge.
	5	Famous	Categorical-judgment-value	relatedTag=Familiar, relatedTag=Unfamiliar	A person who has a high degree of recognition by the general population for his or her success or accomplishments. A famous person.
	5	Inaudible	Categorical-judgment-value	relatedTag=Audible	A sound below the threshold of perception of the participant.
	5	Incongruent	Categorical-judgment-value	relatedTag=Congruent	Not in agreement or harmony.
	5	Involuntary	Categorical-judgment-value	relatedTag=Voluntary	An action that is not made by choice. In the body, involuntary actions (such as blushing) occur automatically, and cannot be controlled by choice.
	5	Masked	Categorical-judgment-value	relatedTag=Unmasked	Information exists but is not provided or is partially obscured due to security,  privacy, or other concerns.
	5	Normal	Categorical-judgment-value	relatedTag=Abnormal	Being approximately average or within certain limits. Conforming with or constituting a norm or standard or level or type or social norm.
	5	Ordered	Categorical-judgment-value	relatedTag=Disordered	Conforming to a logical or comprehensible arrangement of separate elements.
	5	Simple	Categorical-judgment-value	relatedTag=Complex	Easily understood or presenting no difficulties.
	5	Symmetrical	Categorical-judgment-value	relatedTag=Asymmetrical	Made up of exactly similar parts facing each other or around an axis. Showing aspects of symmetry.
	5	Unconstrained	Categorical-judgment-value	relatedTag=Constrained	Moving without restriction.
	5	Unfamiliar	Categorical-judgment-value	relatedTag=Familiar, relatedTag=Famous	Not having knowledge or experience of.
	5	Unmasked	Categorical-judgment-value	relatedTag=Masked	Information is revealed.
	5	Voluntary	Categorical-judgment-value	relatedTag=Involuntary	Using free will or design; not forced or compelled; controlled by individual volition.
	4	Categorical-level-value	Categorical-value		Categorical values based on dividing a continuous variable into levels such as high and low.
	5	Cold	Categorical-level-value	relatedTag=Hot	Characterized by an absence of heat.
	5	Deep	Categorical-level-value	relatedTag=Shallow	Extending relatively far inward or downward.
	5	High	Categorical-level-value	relatedTag=Low, relatedTag=Medium	Having a greater than normal degree, intensity, or amount.
	5	Hot	Categorical-level-value	relatedTag=Cold	Characterized by an excess of heat.
	5	Liminal	Categorical-level-value	relatedTag=Subliminal, relatedTag=Supraliminal	Situated at a sensory threshold that is barely perceptible or capable of eliciting a response.
	5	Loud	Categorical-level-value	relatedTag=Quiet	Characterizing a perceived high intensity of sound.
	5	Low	Categorical-level-value	relatedTag=High	Less than normal in degree, intensity or amount.
	5	Medium	Categorical-level-value	relatedTag=Low, relatedTag=High	Mid-way between small and large in number, quantity, magnitude or extent.
	5	Negative	Categorical-level-value	relatedTag=Positive	Involving disadvantage or harm.
	5	Positive	Categorical-level-value	relatedTag=Negative	Involving advantage or good.
	5	Quiet	Categorical-level-value	relatedTag=Loud	Characterizing a perceived low intensity of sound.
	5	Rough	Categorical-level-value	relatedTag=Smooth	Having a surface with perceptible bumps, ridges, or irregularities.
	5	Shallow	Categorical-level-value	relatedTag=Deep	Having a depth which is relatively low.
	5	Smooth	Categorical-level-value	relatedTag=Rough	Having a surface free from bumps, ridges, or irregularities.
	5	Subliminal	Categorical-level-value	relatedTag=Liminal, relatedTag=Supraliminal	Situated below a sensory threshold that is imperceptible or not capable of eliciting a response.
	5	Supraliminal	Categorical-level-value	relatedTag=Liminal, relatedTag=Subliminal	Situated above a sensory threshold that is perceptible or capable of eliciting a response.
	5	Thick	Categorical-level-value	relatedTag=Thin	Wide in width, extent or cross-section.
	5	Thin	Categorical-level-value	relatedTag=Thick	Narrow in width, extent or cross-section.
	4	Categorical-orientation-value	Categorical-value		Value indicating the orientation or direction of something.
	5	Backward	Categorical-orientation-value	relatedTag=Forward	Directed behind or to the rear.
	5	Downward	Categorical-orientation-value	relatedTag=Leftward, relatedTag=Rightward, relatedTag=Upward	Moving or leading toward a lower place or level.
	5	Forward	Categorical-orientation-value	relatedTag=Backward	At or near or directed toward the front.
	5	Horizontally-oriented	Categorical-orientation-value	relatedTag=Vertically-oriented	Oriented parallel to or in the plane of the horizon.
	5	Leftward	Categorical-orientation-value	relatedTag=Downward, relatedTag=Rightward, relatedTag=Upward	Going toward or facing the left.
	5	Oblique	Categorical-orientation-value	relatedTag=Rotated	Slanting or inclined in direction, course, or position that is neither parallel nor perpendicular nor right-angular.
	5	Rightward	Categorical-orientation-value	relatedTag=Downward, relatedTag=Leftward, relatedTag=Upward	Going toward or situated on the right.
	5	Rotated	Categorical-orientation-value		Positioned offset around an axis or center.
	5	Upward	Categorical-orientation-value	relatedTag=Downward, relatedTag=Leftward, relatedTag=Rightward	Moving, pointing, or leading to a higher place, point, or level.
	5	Vertically-oriented	Categorical-orientation-value	relatedTag=Horizontally-oriented	Oriented perpendicular to the plane of the horizon.
	3	Physical-value	Data-value		The value of some physical property of something.
	4	Weight	Physical-value		The relative mass or the quantity of matter contained by something.
	5	Weight-#	Weight	takesValue, valueClass=numericClass, unitClass=weightUnits	
	3	Quantitative-value	Data-value		Something capable of being estimated or expressed with numeric values.
	4	Fraction	Quantitative-value		A numerical value between 0 and 1.
	5	Fraction-#	Fraction	takesValue, valueClass=numericClass	
	4	Item-count	Quantitative-value		The integer count of something which is usually grouped with the entity it is counting. (Item-count/3, A) indicates that 3 of A have occurred up to this point.
	5	Item-count-#	Item-count	takesValue, valueClass=numericClass	
	4	Item-interval	Quantitative-value		An integer indicating how many items or entities have passed since the last one of these. An item interval of 0 indicates the current item.
	5	Item-interval-#	Item-interval	takesValue, valueClass=numericClass	
	4	Percentage	Quantitative-value		A fraction or ratio with 100 understood as the denominator.
	5	Percentage-#	Percentage	takesValue, valueClass=numericClass	
	4	Ratio	Quantitative-value		A quotient of quantities of the same kind for different components within the same system.
	5	Ratio-#	Ratio	takesValue, valueClass=numericClass	
	3	Spatiotemporal-value	Data-value		A property relating to space and/or time.
	4	Rate-of-change	Spatiotemporal-value		The amount of change accumulated per unit time.
	5	Acceleration	Rate-of-change		Magnitude of the rate of change in either speed or direction. The direction of change should be given separately.
	6	Acceleration-#	Acceleration	takesValue, valueClass=numericClass, unitClass=accelerationUnits	
	5	Frequency	Rate-of-change		Frequency is the number of occurrences of a repeating event per unit time.
	6	Frequency-#	Frequency	takesValue, valueClass=numericClass, unitClass=frequencyUnits	
	5	Jerk-rate	Rate-of-change		Magnitude of the rate at which the acceleration of an object changes with respect to time. The direction of change should be given separately.
	6	Jerk-rate-#	Jerk-rate	takesValue, valueClass=numericClass, unitClass=jerkUnits	
	5	Refresh-rate	Rate-of-change		The frequency with which the image on a computer monitor or similar electronic display screen is refreshed, usually expressed in hertz.
	6	Refresh-rate-#	Refresh-rate	takesValue, valueClass=numericClass	
	5	Sampling-rate	Rate-of-change		The number of digital samples taken or recorded per unit of time.
	6	Sampling-rate-#	Sampling-rate	takesValue, unitClass=frequencyUnits	
	5	Speed	Rate-of-change		A scalar measure of the rate of movement of the object expressed either as the distance travelled divided by the time taken (average speed) or the rate of change of position with respect to time at a particular point (instantaneous speed). The direction of change should be given separately.
	6	Speed-#	Speed	takesValue, valueClass=numericClass, unitClass=speedUnits	
	5	Temporal-rate	Rate-of-change		The number of items per unit of time.
	6	Temporal-rate-#	Temporal-rate	takesValue, valueClass=numericClass, unitClass=frequencyUnits	
	4	Spatial-value	Spatiotemporal-value		Value of an item involving space.
	5	Angle	Spatial-value		The amount of inclination of one line to another or the plane of one object to another.
	6	Angle-#	Angle	takesValue, unitClass=angleUnits, valueClass=numericClass	
	5	Distance	Spatial-value		A measure of the space separating two objects or points.
	6	Distance-#	Distance	takesValue, valueClass=numericClass, unitClass=physicalLengthUnits	
	5	Position	Spatial-value		A reference to the alignment of an object, a particular situation or view of a situation, or the location of an object. Coordinates with respect a specified frame of reference or the default Screen-frame if no frame is given.
	6	X-position	Position		The position along the x-axis of the frame of reference.
	7	X-position-#	X-position	takesValue, valueClass=numericClass, unitClass=physicalLengthUnits	
	6	Y-position	Position		The position along the y-axis of the frame of reference.
	7	Y-position-#	Y-position	takesValue, valueClass=numericClass, unitClass=physicalLengthUnits	
	6	Z-position	Position		The position along the z-axis of the frame of reference.
	7	Z-position-#	Z-position	takesValue, valueClass=numericClass, unitClass=physicalLengthUnits	
	5	Size	Spatial-value		The physical magnitude of something.
	6	Area	Size		The extent of a 2-dimensional surface enclosed within a boundary.
	7	Area-#	Area	takesValue, valueClass=numericClass, unitClass=areaUnits	
	6	Depth	Size		The distance from the surface of something especially from the perspective of looking from the front.
	7	Depth-#	Depth	takesValue, valueClass=numericClass, unitClass=physicalLengthUnits	
	6	Height	Size		The vertical measurement or distance from the base to the top of an object.
	7	Height-#	Height	takesValue, valueClass=numericClass, unitClass=physicalLengthUnits	
	6	Length	Size		The linear extent in space from one end of something to the other end, or the extent of something from beginning to end.
	7	Length-#	Length	takesValue, valueClass=numericClass, unitClass=physicalLengthUnits	
	6	Volume	Size		The amount of three dimensional space occupied by an object or the capacity of a space or container.
	7	Volume-#	Volume	takesValue, valueClass=numericClass, unitClass=volumeUnits	
	6	Width	Size		The extent or measurement of something from side to side.
	7	Width-#	Width	takesValue, valueClass=numericClass, unitClass=physicalLengthUnits	
	4	Temporal-value	Spatiotemporal-value		A characteristic of or relating to time or limited by time.
	5	Delay	Temporal-value		Time during which some action is awaited.
	6	Delay-#	Delay	takesValue, valueClass=numericClass, unitClass=timeUnits	
	5	Duration	Temporal-value		The period of time during which something occurs or continues.
	6	Duration-#	Duration	takesValue, valueClass=numericClass, unitClass=timeUnits	
	5	Time-interval	Temporal-value		The period of time separating two instances, events, or occurrences.
	6	Time-interval-#	Time-interval	takesValue, valueClass=numericClass, unitClass=timeUnits	
	5	Time-value	Temporal-value		A value with units of time. Usually grouped with tags identifying what the value represents.
	6	Time-value-#	Time-value	takesValue, valueClass=numericClass, unitClass=timeUnits	
	3	Statistical-value	Data-value	extensionAllowed	A value based on or employing the principles of statistics.
	4	Data-maximum	Statistical-value		The largest possible quantity or degree.
	5	Data-maximum-#	Data-maximum	takesValue, valueClass=numericClass	
	4	Data-mean	Statistical-value		The sum of a set of values divided by the number of values in the set.
	5	Data-mean-#	Data-mean	takesValue, valueClass=numericClass	
	4	Data-median	Statistical-value		The value which has an equal number of values greater and less than it.
	5	Data-median-#	Data-median	takesValue, valueClass=numericClass	
	4	Data-minimum	Statistical-value		The smallest possible quantity.
	5	Data-minimum-#	Data-minimum	takesValue, valueClass=numericClass	
	4	Probability	Statistical-value		A measure of the expectation of the occurrence of a particular event.
	5	Probability-#	Probability	takesValue, valueClass=numericClass	
	4	Standard-deviation	Statistical-value		A measure of the range of values in a set of numbers. Standard deviation is a statistic used as a measure of the dispersion or variation in a distribution, equal to the square root of the arithmetic mean of the squares of the deviations from the arithmetic mean.
	5	Standard-deviation-#	Standard-deviation	takesValue, valueClass=numericClass	
	4	Statistical-accuracy	Statistical-value		A measure of closeness to true value expressed as a number between 0 and 1.
	5	Statistical-accuracy-#	Statistical-accuracy	takesValue, valueClass=numericClass	
	4	Statistical-precision	Statistical-value		A quantitative representation of the degree of accuracy necessary for or associated with a particular action.
